제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
뷰티인사이드,  2018년 10월 1일 ~ 2018년 11월 20일 ,"  월요일, 화요일 오후 9시 30분 ",  16부작,"  로맨스, 코미디, 멜로, 판타지 ",  JTBC ,2018-10-01 00:00:00
빅맨,  2014년 4월 28일 ~ 2014년 6월 17일 ,"  월요일, 화요일 오후 10:00~11:15 ",  16부작 ,,  KBS 2TV ,2014-04-28 00:00:00
인순이는예쁘다,   2007년 11월 7일 ~ 2007년 12월 27일 ,"  수요일, 목요일 오후 9:50~10:50 ",  16부작 ,,  KBS 2TV ,2007-11-07 00:00:00
청춘시대,   2016년 7월 22일 ~ 2016년 8월 27일 ,"  금요일, 토요일 오후 8시 30분 ",  12부작 ,"  드라마, 청춘, 로맨스, 미스터리 범죄 스릴러 ",  JTBC ,2016-07-22 00:00:00
브레인,  2011년 11월 14일 ~ 2012년 1월 17일 ,"  월요일, 화요일 9시 55분 ~ 11시 5분 ",  20부작 ,  의학 드라마 ,  KBS 2TV ,2011-11-14 00:00:00
위대한쇼,  2019년 8월 26일 ~ 2019년 10월 15일 ,"  월요일, 화요일 오후 9:30 ~ ",  16부작 ,,  tvN ,2019-08-26 00:00:00
백일의낭군님,  2018년 9월 10일 ~ 10월 30일 ,"  매주 월요일, 화요일 밤 9시 30분 ",  16부작 ,  미스터리 로맨스 픽션사극 ,  tvN ,2018-09-10 00:00:00
파트너,   2009년 6월 24일 ~ 2009년 8월 13일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  총 16부작 ,,  KBS 2TV ,2009-06-24 00:00:00
봄의왈츠,  2006년 3월 6일 ~ 2006년 5월 16일 ,"  월요일, 화요일 오후 9:55 ~ ",  20부작 ,"  멜로, 드라마 ",  KBS 2TV ,2006-03-06 00:00:00
광고천재이태백,  2013년 2월 4일 ~ 2013년 3월 26일 ,"  월요일, 화요일 오후 10:00 ~ 11:05 ",  16부작 ,  드라마 ,  KBS 2TV ,2013-02-04 00:00:00
그남자의기억법,   2020년 3월 18일 ~ 2020년  5월 7일 (예정),"  수요일, 목요일 밤 8시 55분 ~ 10시 5분 ",  32부작 ,,  문화방송 ,2020-03-18 00:00:00
