제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
토마토, 1999년 4월 21일 ~ 1999년 6월 10일," 수요일, 목요일 밤 (시간) 9시 55분 ~ 10시 55분", 16부작, 드라마, SBS,1999-04-21 00:00:00
그대아직도꿈꾸고있는가, 1990년 10월 3일 ~ 1990년 10월 25일," 수요일, 목요일 밤 (시간) 9시 50분", 8부작, 드라마, KBS 2TV,1990-10-03 00:00:00
태양의후예," 2016년 2월 24일 ~ 2016년 4월 14일(본방), 2017년 11월 3일 ~ 2017년 12월 23일 (재방)",, 16부작 + 스페셜 3부작," 휴먼, 액션, 멜로, 로맨스 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", KBS 2TV,2016-02-24 00:00:00
엔젤아이즈, 2014년 4월 5일 ~ 2014년 6월 15일," 토요일, 일요일 밤 (시간) 9시 55분 ~ 11시 15분", 20부작, 로맨스, SBS,2014-04-05 00:00:00
닥터프로스트, 2014년 11월 23일 ~ 2015년 2월 1일, 일요일 밤 11시, 10부작, 드라마, OCN (방송),2014-11-23 00:00:00
이웃집여자, 1997년 7월 5일 ~ 1997년 11월 9일," 토요일, 일요일 밤 (시간) 8시 50분 ~ 9시 50분", 38부작, 드라마, SBS TV,1997-07-05 00:00:00
펀치, 2014년 12월 15일 ~ 2015년 2월 17일," 월요일, 화요일 밤 10시", 19부작," 정치, 법률", SBS TV,2014-12-15 00:00:00
비밀, 2000년 9월 13일 ~ 2000년 11월 9일," 매주 수,목 밤 9시 55분", 18부작, 텔레비전 드라마, MBC TV,2000-09-13 00:00:00
봄의왈츠, 2006년 3월 6일 ~ 2006년 5월 16일," 월, 화 저녁 9시 55분 ~ 11시 5분", 20부작, 텔레비전 드라마, KBS 2TV,2006-03-06 00:00:00
나인룸, 2018년 10월 6일 ~ 2018년 11월 25일, , 16부작, 드라마, tvN,2018-10-06 00:00:00
블랙독, 2019년 12월 16일 ~ 2020년 2월 4일," 매주 월요일, 화요일 밤 9시 30분", 16부작, 텔레비전 드라마, tvN,2019-12-16 00:00:00
미스트리스, 2018년 4월 28일 ~ 2018년 6월 3일," 매주 토요일, 일요일 밤 10시", 12부작," 미스터리, 관능, 스릴러, 드라마", OCN (방송),2018-04-28 00:00:00
울지않는새, 2015년 5월 4일 ~ 2015년 10월 22일, 월요일 ~ 목요일 오전 9:40 ~ 10:30, 100부작, 드라마 · 연속극, tvN,2015-05-04 00:00:00
낮과밤, 2020년 ~ 방송 예정, 미정, 16부작, , tvN,unknown
흉부외과-심장을훔친의사들, 2018년 9월 27일 ~ 2018년  11월 15일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:10", 32부작, 메디컬 드라마, SBS TV,2018-09-27 00:00:00
녹색마차, 2009년 5월 11일 ~ 2009년 10월 2일, 월요일 ~ 금요일 오전 8시 40분 ~ 9시 20분(처음에는 월~토 방영하다 변경되었다.), 113부작, 드라마, SBS,2009-05-11 00:00:00
번외수사, 2020년 5월 23일 ~, , 12부작," 범죄, 액션", OCN (방송),2020-05-23 00:00:00
때로는타인처럼, 1996년 9월 16일 ~ 1997년 3월 1일,, 138부작, 드라마, SBS,1996-09-16 00:00:00
그여름의태풍, 2005년 5월 28일 ~ 2005년 9월 4일," 매주 토,일 밤 8시 45분", 30부작, 드라마, SBS TV,2005-05-28 00:00:00
후아유-학교2015, 2015년 4월 27일 ~ 2015년 6월 16일," 월요일, 화요일 밤 10시 ~ 11시 10분", 16부작, 학교 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악," KBS 제2TV KBS 조이, KBS 드라마, KBS W, 폭스 채널",2015-04-27 00:00:00
까레이스키, 1994년 12월 19일 ~ 1995년 3월 7일, 매주 월·화요일 저녁 9시 50분, 22부작, 텔레비전 드라마, 문화방송,1994-12-19 00:00:00
막돼먹은영애씨15, 2016년 10월 31일 ~ 2017년 1월 3일, 매주 월 · 화요일 밤 11시, 20부작," 텔레비전 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 인디뮤직, 드라마음악 인디뮤직, 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 인디뮤직, 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", tvN,2016-10-31 00:00:00
소풍가는여자, 2004년 5월 3일 ~ 2004년 10월 8일, 월요일 ~ 금요일 밤 (시간) 8시 50분 ~ 9시 25분, 94부작, 텔레비전 드라마, SBS (대한민국의 방송사),2004-05-03 00:00:00
본대로말하라, 2020년 2월 1일 ~ 2020년 3월 22일," 토요일, 일요일 밤 10시 50분 ~ 12시 10분", 16부작, , OCN (방송),2020-02-01 00:00:00
야망의25시, 1983년 3월 28일 ~ 1983년 6월 14일, 매주 월 · 화요일 밤 10:10 ~ 11:00, 22부작, 텔레비전 드라마, 문화방송,1983-03-28 00:00:00
엄마가뿔났다, 2008년 2월 2일 ~ 2008년 9월 28일, 토요일 ~ 일요일 저녁 7시 55분 ~ 9시 5분, 66부작, 텔레비전 드라마, KBS 2TV,2008-02-02 00:00:00
작은도시, 1992년 3월 16일 ~ 1992년 5월 5일, 매주 월·화요일 저녁 8시 55분, 16부작, 텔레비전 드라마, 서울방송,1992-03-16 00:00:00
두자매, 1992년 4월 6일 ~ 1992년 10월 3일, 월요일 ~ 토요일 오전 9시 20분, 155부작, 텔레비전 드라마, 문화방송,1992-04-06 00:00:00
