제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
노란손수건, 2003년 2월 3일 ~ 2003년 10월 3일, 169부작, 드라마, KBS 1TV, KBS 드라마 제작국, 박정란 ," 김호진 (배우), 이태란, 추상미, 조민기 외",2003-02-03 00:00:00
어여쁜당신, 2005년 2월 14일 ~ 2005년 9월 23일, 159부작, 드라마, 한국방송공사,, 박정란," 김승수 (배우), 이보영 (배우), 이창훈 (배우), 오주은 외",2005-02-14 00:00:00
고개숙인남자, 1991년 1월 5일 ~ 1991년 5월 5일, 35부작, 텔레비전 드라마, 문화방송, , 주찬옥 ," 최불암, 김창숙 (배우), 정한용, 이미숙 외",1991-01-05 00:00:00
아이리스2, 2013년 2월 13일 ~ 2013년 4월 18일, 20부작, 블록버스터 첩보 액션        , KBS 2TV," 태원 엔터테인먼트 (정태원, 정재희)", 조규원," 장혁, 이다해, 이범수, 오연수, 윤두준, 임수향, 이준 (배우), 김영철 (배우), 김일우 (1963년),데이비드 맥기니스 외",2013-02-13 00:00:00
여자의방, 1992년 11월 4일 ~ 1993년 5월 6일, 52부작, 드라마, 문화방송, , 주찬옥," 고현정, 배종옥, 이미숙, 박상원 외",1992-11-04 00:00:00
당신은누구시길래, 1999년 9월 6일 ~ 2000년 9월 15일, 248부작, 드라마, SBS, 삼화네트웍스, 윤정건," 오대규, 이제니 외",1999-09-06 00:00:00
너라서좋아, 2012년 9월 3일 ~ 2013년 2월 15일, 117부작, 텔레비전 드라마, SBS, SBS, 이혜선," 이재황 (배우), 윤지민, 박혁권, 윤해영 외",2012-09-03 00:00:00
굿캐스팅, 2020년 4월 27일 ~ 현재, ," 액션, 코미디", SBS TV, 박해선 (방송인) 박스미디어, 박지하," 최강희 (배우), 이상엽, 유인영, 이준영 (1997년), 김지영 (1974년), 이종혁 (배우) 외",2020-04-27 00:00:00
나는별일없이산다, 2010년 5월 26일 ~ 2010년 6월 9일, 4부작, 텔레비전 드라마, MBC, , 이정란 (작가) , ,2010-05-26 00:00:00
공주가돌아왔다, 2009년 9월 14일 ~ 2009년 11월 3일, 16부작, 텔레비전 드라마, KBS 2TV," 이주경, 조성우",," 황신혜, 오연수, 탁재훈, 이재황 외",2009-09-14 00:00:00
계약우정, 2020년 4월 6일 ~ 2020년 4월 14일, 8부작," 로맨스, 코미디, 학교 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", KBS 2TV," 김용진, 손재성 메가몬스터", 김주만," 이신영, 신승호, 김소혜 (1999년), 오희준, 민도희, 조이현 외",2020-04-06 00:00:00
시트콩로얄빌라, 2013년 7월 15일 ~ 2013년 9월 9일, 10부작," 시트콤, 코미디", JTBC, JTBC," 유성찬, 최항서, 심봉기 
 이남규, 위소영, 박지영, 진유미"," 김병만, 온유, 안내상, 외",2013-07-15 00:00:00
열애, 2013년 9월 28일 ~ 2014년 3월 23일, 47부작, 드라마 · 연속극, SBS TV, 김희열 팬엔터테인먼트, 박예경 ," 성훈 (1983년), 최윤영 (1986년), 심지호 외",2013-09-28 00:00:00
쿨, 2001년 7월 9일 ~ 2001년 8월 28일, 16부작, 드라마, KBS 2TV,, 박언희," 구본승, 소유진, 김지영 (1974년), 김승수 (배우), 황인영",2001-07-09 00:00:00
삼총사, 2002년 11월 6일 ~ 2003년 1월 2일, 17부작, 드라마, 문화방송, 그룹에이트," 정영선, 도현정, 여정미"," 류진 (배우), 손지창, 김소연 (1980년) 외",2002-11-06 00:00:00
